-313.1281645918864456 -2539.4033928603057575*I,-0.0000952526031242 -0.0007726000360191*I,-1928471392351425.7500000000000000 -8512866363490121.0000000000000000*I,+643730390.7391440868377686 -490813718.0880593657493591*I
-205.6232523186182561 -2054.5118001060109236*I,-0.0000625285081848 -0.0006248855051639*I,-2185131412289640.0000000000000000 -7145917657310731.0000000000000000*I,+505270301.7743563055992126 -242815080.2755370736122131*I
-125.3013193307944988 -1659.9952618559752864*I,-0.0000380872360501 -0.0005047002911104*I,-2165695756730966.2500000000000000 -6153175729672190.0000000000000000*I,+364698144.5980010032653809 -83085132.9508256316184998*I
-66.1079844847486839 -1339.3165375452276749*I,-0.0000200845261461 -0.0004070072410563*I,-1953224245055602.0000000000000000 -5381011990702027.0000000000000000*I,+237945845.3906231522560120 +8943249.9786688834428787*I
-23.2431023346877978 -1078.9197387518556752*I,-0.0000070581709326 -0.0003276784159518*I,-1625810191915711.7500000000000000 -4732018483534020.0000000000000000*I,+133423127.7188909798860550 +52368016.1780931502580643*I
+7.0871634180327607 -867.6991847164471210*I,+0.0000021476241211 -0.0002633309420252*I,-1249015334988982.7500000000000000 -4150176760928670.5000000000000000*I,+53982320.7167110294103622 +63550492.0777588263154030*I
+27.8707658609323339 -696.5615709391024666*I,+0.0000084431593591 -0.0002111953845676*I,-872673760990300.8750000000000000 -3607990386472526.0000000000000000*I,-1282296.3922914445865899 +55568799.1204835623502731*I
+41.4515551524142865 -558.0662320391863886*I,+0.0000125425316672 -0.0001690055702648*I,-530723404891868.7500000000000000 -3096040500235796.0000000000000000*I,-35521777.3581541851162910 +38187418.3622453138232231*I
+49.6598836170007658 -446.1286088220700208*I,+0.0000150033545525 -0.0001349080140880*I,-242918909011806.3750000000000000 -2615037294734524.5000000000000000*I,-52954112.4334798008203506 +18159728.5973923690617085*I
+53.9177283449322360 -355.7765552353515091*I,+0.0000162588023186 -0.0001073884232776*I,-17519878116986.9589843750000000 -2170169348415639.7500000000000000*I,-58016413.4588608443737030 -286480.5123226995347068*I
+55.3232071238263146 -282.9499730362389869*I,+0.0000166432996556 -0.0000852101091305*I,+145710817368118.8437500000000000 -1767412473783309.5000000000000000*I,-54811663.7906718775629997 -14895606.2297829966992140*I
+54.7184871840106126 -224.3360569517998044*I,+0.0000164132156948 -0.0000673640844708*I,+252645333020093.6875000000000000 -1411394061176449.0000000000000000*I,-46797475.4834964126348495 -24841964.2111536525189877*I
+52.7441691517429589 -177.2340484470443300*I,+0.0000157633952417 -0.0000530277616757*I,+312327947679384.9375000000000000 -1104409842766195.0000000000000000*I,-36658922.9069999903440475 -30248770.0364552773535252*I
+49.8827284272562466 -139.4439588025157946*I,+0.0000148404446539 -0.0000415313107297*I,+335033517919806.0000000000000000 -846231056732228.8750000000000000*I,-26310239.2584507800638676 -31793483.6001250483095646*I
+46.4932219586294551 -109.1753484382253987*I,+0.0000137532766775 -0.0000323297456544*I,+330867638981248.6250000000000000 -634396342105215.3750000000000000*I,-16977262.5047749020159245 -30407329.5678201876580715*I
+42.8387978771004754 -84.9723395036172207*I,+0.0000125815311684 -0.0000249802109926*I,+308863768879715.5000000000000000 -464754656031734.1875000000000000*I,-9322086.6831948403269053 -27064172.5114175751805305*I
+39.1084851372997662 -65.6521060094023881*I,+0.0000113822354866 -0.0000191232780903*I,+276496466121333.6562500000000000 -332088223674589.3750000000000000*I,-3581152.5084029068239033 -22646983.7941306121647358*I
+35.4343121183611416 -50.2544037432708492*I,+0.0000101950196916 -0.0000144675828126*I,+239515234552524.2500000000000000 -230704016093484.0625000000000000*I,+302737.2034729050355963 -17876453.9337927475571632*I
+31.9027832540371605 -37.9978189629654750*I,+0.0000090457753610 -0.0000107767586559*I,+202000429006725.7812500000000000 -154922892343478.3125000000000000*I,+2565369.4202238838188350 -13286403.0182469729334116*I
+28.5634743615058539 -28.2498804949605749*I,+0.0000079493815287 -0.0000078602873262*I,+166560590972318.2812500000000000 -99463373514796.1562500000000000*I,+3532072.2987522850744426 -9230517.8529539629817009*I
+25.4530662060880388 -20.5080530971240229*I,+0.0000069167315754 -0.0000055675426823*I,+134650123738248.3281250000000000 -59705720632533.7031250000000000*I,+3555462.9285545675083995 -5902202.8430828209966421*I
+22.5824978765852578 -14.3561114522635638*I,+0.0000059513496268 -0.0000037752102676*I,+106822698903421.6250000000000000 -31763080455985.0429687500000000*I,+2964356.6074484591372311 -3372616.8500935179181397*I
+19.9460366016955888 -9.4568065562800641*I,+0.0000050523125984 -0.0000023850903731*I,+83029605604601.7500000000000000 -12549124325208.8789062500000000*I,+2044364.2150962096638978 -1624034.9924413324333727*I
+17.5244357562668078 -5.5389282453282389*I,+0.0000042156933638 -0.0000013204293319*I,+62878080061338.3437500000000000 +252274392575.5767822265625000*I,+1029047.2208509655902162 -579585.7860133477952331*I
+15.2865106555439674 -2.3853151814401334*I,+0.0000034358404126 -0.0000005226385586*I,+45849144408920.0156250000000000 +8275302971888.7871093750000000*I,+101009.1463840548531152 -125445.6454083328571869*I
+13.1907927701460022 +0.1738411928135717*I,+0.0000027071801909 +0.0000000505602968*I,+31479287235562.2812500000000000 +12592236142260.1796875000000000*I,-603384.3070985201047733 -123806.6672644382633734*I
+11.1862618556151094 +2.2656645927747414*I,+0.0000020265344619 +0.0000004267112150*I,+19502891650459.6679687500000000 +13873496938379.3769531250000000*I,-991071.6006035649916157 -417382.9878829291556031*I
+9.2158324092846104 +3.9766184804571245*I,+0.0000013972996737 +0.0000006203314177*I,+9948075095925.5664062500000000 +12595073014532.5488281250000000*I,-1018216.5255305655300617 -829651.4153207080671564*I
+7.2204752436576909 +5.3524149042162072*I,+0.0000008348432379 +0.0000006360593738*I,+3139873688649.1269531250000000 +9303384693074.3984375000000000*I,-709688.6311743381666020 -1170247.3616294851526618*I
+5.1466231641836480 +6.3988287279340170*I,+0.0000003733521208 +0.0000004756588606*I,-480463616050.6002197265625000 +4908350671384.2705078125000000*I,-189049.2981577343307436 -1263703.3304504172410816*I
+2.9517763563315969 +7.0839843049210112*I,+0.0000000707916353 +0.0000001511008712*I,-832701866253.4942626953125000 +840901763830.7634277343750000*I,+307189.5944483991479501 -1021132.2834669959265739*I
+0.6022298746063399 +7.3345406716874129*I,+0.0000000067350306 -0.0000002966091923*I,+1090231277654.9725341796875000 -1301879982454.6042480468750000*I,+494465.6789154944126494 -544367.1649930563289672*I
-1.9288733719369335 +7.0004413912404253*I,+0.0000002706826986 -0.0000007773581437*I,+2937804499805.6718750000000000 -975553922081.9970703125000000*I,+248583.5636268417874817 -152413.2307071910763625*I
-4.5925063124283731 +5.7787743077265823*I,+0.0000009493380055 -0.0000011243669048*I,+2469309594688.8403320312500000 +38040945259.4774246215820312*I,-158120.4117451781639829 -117694.6405708813108504*I
-7.0208134418544228 +3.2519222993761727*I,+0.0000020939283181 -0.0000010078752801*I,+444811790931.1507568359375000 -689109021016.7536621093750000*I,-264459.5240852895658463 -200003.0725419746886473*I
-8.3252047954221897 -0.6635138633698986*I,+0.0000035010311001 +0.0000001971751308*I,-471605274556.4727172851562500 -1483853725368.0629882812500000*I,-133227.1068112211651169 +47307.4869034431976615*I
-7.3829865516440094 -5.3123192656234535*I,+0.0000042239953915 +0.0000031330012157*I,-893421766674.9697265625000000 +187779977268.1883850097656250*I,-19623.3131054459699953 +185969.5042587955249473*I
-3.0044872033313017 -9.3698169817123631*I,+0.0000023891585112 +0.0000074557712042*I,+79415722066.0604705810546875 +717826415229.6102294921875000*I,+154438.9374012198532000 -28673.9636809385156084*I
+4.2652950341103129 -10.0342219026176025*I,-0.0000044220835970 +0.0000105017428777*I,+453588937336.1612548828125000 -390337725109.6929931640625000*I,-90731.2381408977671526 -89615.9487763465876924*I
+10.5034151642966709 -4.2011459514406519*I,-0.0000153357823247 +0.0000061761606076*I,-448730462212.5766601562500000 +244646956193.8220825195312500*I,+26789.3463780931924703 +97159.7504710803623311*I
+9.7506380302276749 +5.2389458691461028*I,-0.0000201016069202 -0.0000111165294596*I,+420603687401.5688476562500000 -311116218298.8638305664062500*I,-43814.9365708207988064 -45393.6236474299366819*I
+9.0707372357698901 +6.0328407658058705*I,-0.0000195704627641 -0.0000133515106062*I,+278778703749.1366577148437500 -369833389939.4450683593750000*I,-67757.0200792857212946 -22548.2488983888724761*I
+8.2870135712953363 +6.7603929319998963*I,-0.0000187820363101 -0.0000155945725977*I,+83522926391.1173248291015625 -374998633332.3723144531250000*I,-80260.9414388688310282 +909.4848109357458270*I
+7.4164911397293425 +7.4083371692607187*I,-0.0000177201104242 -0.0000178155750622*I,-130233309487.2543487548828125 -332055425304.0054321289062500*I,-77901.6023484678589739 +22156.0824922946558218*I
+6.4813354010715400 +7.9633169025048387*I,-0.0000163715314687 -0.0000199815239762*I,-318862458009.4106445312500000 -250154937101.0848388671875000*I,-60250.5764323179537314 +39091.0624801882804604*I
+5.5064389337360371 +8.4127139208089261*I,-0.0000147280158136 -0.0000220566141849*I,-440205918604.0843505859375000 -139829599929.2839660644531250*I,-30472.3566753767336195 +50225.2097781323536765*I
+4.5161989286508843 +8.7451767240918752*I,-0.0000127880074599 -0.0000240027625339*I,-465167627302.0673217773437500 -12376633137.6828441619873047*I,+5047.1416211795958588 +54420.7396930065879133*I
+3.5313891582479986 +8.9506217439368658*I,-0.0000105581773601 -0.0000257803719997*I,-387148835055.5559082031250000 +118897949838.4608001708984375*I,+38110.2311810870742192 +50753.8884614449998480*I
+2.5671667993040024 +9.0199854005501283*I,-0.0000080540743301 -0.0000273491635061*I,-225760777448.7741699218750000 +236749028052.8475036621093750*I,+60857.7970434959206614 +38736.6671387963870075*I
+1.6330930196151854 +8.9453225326785351*I,-0.0000052999338039 -0.0000286690463453*I,-22716241497.4233818054199219 +319526881250.9584960937500000*I,+68033.0435598499025218 +18941.0444805366132641*I
+0.7353054730116408 +8.7208611898839425*I,-0.0000023274838413 -0.0000297005375934*I,+169614239566.2583618164062500 +344287714925.6861572265625000*I,+58583.7998265904680011 -6222.2355228259802971*I
-0.1197697382490451 +8.3454274476555099*I,+0.0000008256496168 -0.0000304049403926*I,+303575803252.5234375000000000 +294143781181.8511352539062500*I,+35977.4883253595180577 -32078.5165591714867332*I
-0.9215570728586470 +7.8257271966372537*I,+0.0000041172435887 -0.0000307442252220*I,+350221716825.7293090820312500 +167968652770.0892944335937500*I,+7041.4097386349658336 -52171.4931612353102537*I
-1.6530664398999688 +7.1796137101712505*I,+0.0000075012857315 -0.0000306823416485*I,+306749728112.9423828125000000 -11952642787.6554412841796875*I,-20279.2025667675261502 -59924.0349028485143208*I
-2.2912363514756384 +6.4367727156765646*I,+0.0000109276438520 -0.0000301864293790*I,+194708531655.2705078125000000 -199725867654.3077087402343750*I,-39382.6710745194432093 -51167.9013018929181271*I
-2.8099881247023570 +5.6360292777477570*I,+0.0000143412457246 -0.0000292304641100*I,+50268287208.5465469360351562 -336598255586.3557739257812500*I,-46732.7430547526819282 -26582.2410341540307854*I
-3.1847530968555300 +4.8186812703035660*I,+0.0000176814476507 -0.0000277995926755*I,-88628664781.8728485107421875 -371405142440.8545532226562500*I,-42250.7046977150530438 +7267.2684556184731264*I
-3.3965426201981361 +4.0198346352368786*I,+0.0000208820966876 -0.0000258942653568*I,-192349739912.7424316406250000 -283563730318.3623657226562500*I,-28477.8394345007181983 +39310.8143815656367224*I
-3.4342402368745795 +3.2614758618064328*I,+0.0000238729647144 -0.0000235326458307*I,-243316572193.5837402343750000 -97627150252.9616394042968750*I,-9234.3573119728043821 +57805.7418586614148808*I
-3.2950125517689202 +2.5511337208033695*I,+0.0000265819842829 -0.0000207499288426*I,-234340450206.0655212402343750 +120286887809.2108612060546875*I,+11346.9459396597230807 +55303.5481920194943086*I
-2.9842788106356339 +1.8880539216216965*I,+0.0000289376528420 -0.0000175947559276*I,-166241578200.2307128906250000 +286467981028.9248046875000000*I,+29024.4587786881238571 +32454.9102884970125160*I
-2.5168823716256394 +1.2748473489835073*I,+0.0000308710785325 -0.0000141239910234*I,-49353397995.4531478881835938 +335474612470.2737426757812500*I,+39338.8393247855274240 -1542.3605535240812969*I
-1.9196401606781475 +0.7289517349062213*I,+0.0000323178583052 -0.0000103987655730*I,+91195777965.3791351318359375 +250970472393.4872741699218750*I,+38183.3486435506783891 -32612.9769715183356311*I
-1.2328410380660655 +0.2869755937308676*I,+0.0000332207783735 -0.0000064838169480*I,+212894018184.7617797851562500 +74613843978.1898651123046875*I,+23674.3400736825205968 -48148.1881416138203349*I
-0.5070163786315842 -0.0019491472406773*I,+0.0000335347410271 -0.0000024506156480*I,+264765179340.4427490234375000 -113591047277.4264831542968750*I,-1341.7175529566454770 -42857.4968507493249490*I
