2.133166480593464*^15-8.952416724975032*^14*I,-4.7454094630216247*^8-1.1097531526618423*^9*I
1.4638905954898685*^15+1.1108221485337068*^15*I,5.743629842234637*^8-7.676063031961119*^8*I
-1.8154225126070512*^14+1.448354386206702*^15*I,7.562411660400363*^8+8.9645084932376*^7*I
-1.0680412174367659*^15+4.5121780030202794*^14*I,2.39158272722388*^8+5.55629894090634*^8*I
-7.351152910743601*^14-5.548260398903365*^14*I,-2.86866580779443*^8+3.854629225839937*^8*I
8.893213418622403*^13-7.261385886733194*^14*I,-3.7914486905202544*^8-4.385354788910744*^7*I
5.345614593235523*^14-2.278404081003026*^14*I,-1.2075139478941584*^8-2.780945557450733*^8*I
3.6941771649685994*^14+2.7674707216456344*^14*I,1.43080758806503*^8-1.9370755635595766*^8*I
-4.3084980033297695*^13+3.641034208801026*^14*I,1.9011470797933698*^8+2.1199864555522934*^7*I
-2.673683963273458*^14+1.154480243277298*^14*I,6.117927000606002*^7+1.3909291117208865*^8*I
-1.8590033296721678*^14-1.3767960553521472*^14*I,-7.117559433568205*^7+9.74809640577762*^7*I
2.041278799694191*^13-1.8261284351545672*^14*I,-9.53537611588634*^7-1.0005823307753347*^7*I
1.3354663333679452*^14-5.888624838652393*^13*I,-3.1201700810858477*^7-6.947586286672427*^7*I
9.379678042001908*^13+6.813803386892378*^13*I,3.5220139524172634*^7-4.918772429313878*^7*I
-9.211294663139086*^12+9.162436661055997*^13*I,4.784690088858324*^7+4.479885822500409*^6*I
-6.652028894468096*^13+3.04123164555517*^13*I,1.6111794096104203*^7+3.4607790568884045*^7*I
-4.756183345634018*^13-3.3364290235610426*^13*I,-1.7241540276065934*^7+2.494552962412037*^7*I
3.682973599208737*^12-4.599808789185102*^13*I,-2.402485847766951*^7-1.7551993496215306*^6*I
3.2940609410670805*^13-1.6068927539465281*^13*I,-8.511055434991762*^6-1.713947101987263*^7*I
2.4337873568282324*^13+1.5971247785019648*^13*I,8.249466830055532*^6-1.2768843124473203*^7*I
-9.577645320626328*^11+2.3100242406076473*^13*I,1.2069814300193423*^7+413565.15093388146*I
-1.6098701282059285*^13+8.830533490726502*^12*I,4.675618969355204*^6+8.3784700696543725*^6*I
-1.2646910725897158*^13-7.259159210501675*^12*I,-3.7457440106552807*^6+6.639190179884914*^6*I
-3.83135438729756*^11-1.157351716018713*^13*I,-6.051814746262583*^6+245444.0100802479*I
7.614995456925924*^12-5.153326971346829*^12*I,-2.727187857697922*^6-3.9655952813192043*^6*I
6.711960380343613*^12+2.8719391123723213*^12*I,1.4782504905567353*^6-3.527394286993455*^6*I
1.034708337342721*^12+5.702797271283247*^12*I,2.986822676141815*^6-564243.7813163059*I
-3.275032050635263*^12+3.2312259732763936*^12*I,1.7084491172784695*^6+1.7084523278585323*^6*I
-3.5972807162222627*^12-6.283241615471875*^11*I,-319488.51972027204+1.893858562575253*^6*I
-1.3243000072749375*^12-2.5783044703267925*^12*I,-1.355169610819354*^6+703140.6469383003*I
9.346692012925378*^11-2.1026942533483*^12*I,-1.1095368765291094*^6-491191.4810360604*I
1.7472306566786326*^12-5.369571309267926*^11*I,-281201.34514243534-921867.2334642515*I
1.2697608013898118*^12+7.076460117993304*^11*I,376222.60882413574-665739.675207981*I
3.582826890941963*^11+1.100902191456572*^12*I,577549.6202608946-182880.8226172143*I
-3.25620617577024*^11+8.631662908379529*^11*I,447983.2534443639+171479.12554796773*I
-5.94179047736028*^11+4.2934307131626636*^11*I,224287.35577371536+307846.3130915708*I
-5.718783735076565*^11+9.294560941646567*^10*I,51104.00812466358+299750.891592998*I
-4.541688935696207*^11-6.819034435129618*^10*I,-36990.805617544946+239192.90353537071*I
-3.5283337258218054*^11-1.0277384696057037*^11*I,-53919.55428125604+183070.70033189832*I
-2.844970375860388*^11-5.598400759941447*^10*I,-28617.397441678426+149913.98081426392*I
-2.277509008488762*^11+4.2890064976146515*^10*I,21833.234663552572+118484.01691691307*I
-2.20070434169671*^11+5.3933081617985954*^10*I,27878.276216572805+114331.79159278878*I
-2.1164769322794247*^11+6.500691944311124*^10*I,33962.796367639625+109883.96728783051*I
-2.0240992619952777*^11+7.605544265779915*^10*I,40026.65176757334+105104.38455538177*I
-1.9229824113952225*^11+8.701108776466864*^10*I,46003.42699325669+99954.6334665203*I
-1.812707416125516*^11+9.778894673350461*^10*I,51822.75344942936+94394.5487042565*I
-1.6930205142340863*^11+1.0828451253822978*^11*I,57410.959430923154+88384.88287546724*I
-1.5638321508786865*^11+1.1837094568574829*^11*I,62692.266438448896+81890.12452758513*I
